,employees,salaries_2017,adjustments,salaries_2018,got_raise
57,Employeeÿ57,45851.26,-4073.85593,41777.4,FALSE
58,Employeeÿ58,43997.55,4008.30155,48005.85,TRUE
59,Employeeÿ59,46990.95,8203.43262,55194.38,TRUE
60,Employeeÿ60,44811.87,9534.1959,54346.06,TRUE
61,Employeeÿ61,45741.58,-3571.18578,42170.39,FALSE
62,Employeeÿ62,46777.22,2232.58079,49009.8,TRUE
63,Employeeÿ63,46468.84,-631.68281,45837.16,FALSE
64,Employeeÿ64,48554.31,-2305.28329,46249.03,FALSE
65,Employeeÿ65,41080.61,77.89132,41158.5,TRUE
66,Employeeÿ66,49360.8,-2101.49588,47259.31,FALSE
67,Employeeÿ67,47718.46,1107.57641,48826.04,TRUE
68,Employeeÿ68,44723.82,7877.7029,52601.53,TRUE
69,Employeeÿ69,46185.04,7986.29521,54171.33,TRUE
70,Employeeÿ70,44020.97,-4438.47627,39582.5,FALSE
71,Employeeÿ71,47929.97,-1894.44464,46035.53,FALSE
72,Employeeÿ72,41860.36,4317.03292,46177.39,TRUE
73,Employeeÿ73,40359.94,4119.26123,44479.2,TRUE
74,Employeeÿ74,42783.8,3344.46423,46128.26,TRUE
75,Employeeÿ75,49892.03,3543.68769,53435.72,TRUE
76,Employeeÿ76,46433.59,-3487.46158,42946.13,FALSE
77,Employeeÿ77,43823.77,7775.74304,51599.51,TRUE
78,Employeeÿ78,47429.19,6907.77951,54336.97,TRUE
79,Employeeÿ79,42168.3,9796.08519,51964.39,TRUE
80,Employeeÿ80,41118.27,1039.47776,42157.74,TRUE
81,Employeeÿ81,41976.96,3934.02524,45910.99,TRUE
82,Employeeÿ82,47601.5,2000.98184,49602.49,TRUE
83,Employeeÿ83,46646.63,2001.06699,48647.7,TRUE
84,Employeeÿ84,49097.34,9176.67412,58274.02,TRUE
85,Employeeÿ85,47100.19,-2367.45162,44732.74,FALSE
86,Employeeÿ86,48831.41,1996.77643,50828.18,TRUE
87,Employeeÿ87,49946.74,3740.23208,53686.97,TRUE
88,Employeeÿ88,44064.63,-4515.27306,39549.36,FALSE
89,Employeeÿ89,42378.41,4458.13997,46836.55,TRUE
90,Employeeÿ90,44495.91,-39.15554,44456.76,FALSE
91,Employeeÿ91,44600.1,8870.13139,53470.23,TRUE
92,Employeeÿ92,40513.63,7295.23437,47808.87,TRUE
93,Employeeÿ93,47226.47,-3792.3198,43434.15,FALSE
94,Employeeÿ94,47839.06,8402.18415,56241.24,TRUE
95,Employeeÿ95,42189.51,9283.74706,51473.26,TRUE
96,Employeeÿ96,44957.51,6818.04274,51775.56,TRUE
97,Employeeÿ97,43378.93,-4957.78897,38421.14,FALSE
98,Employeeÿ98,40711.16,8174.59963,48885.76,TRUE
99,Employeeÿ99,48636.42,3038.84947,51675.27,TRUE
100,Employeeÿ100,47170.61,7212.2174,54382.83,TRUE
,,,,,
